         160          51
   0.39751552795E+01   0.00000000000E+00   0.00000000000E+00
   0.40062111801E+01   0.00000000000E+00   0.00000000000E+00
   0.40372670807E+01   0.00000000000E+00   0.00000000000E+00
   0.40683229814E+01   0.00000000000E+00   0.00000000000E+00
   0.40993788820E+01   0.00000000000E+00   0.00000000000E+00
   0.41304347826E+01   0.00000000000E+00   0.00000000000E+00
   0.41614906832E+01   0.00000000000E+00   0.00000000000E+00
   0.41925465839E+01   0.00000000000E+00   0.00000000000E+00
   0.42236024845E+01   0.00000000000E+00   0.00000000000E+00
   0.42546583851E+01   0.00000000000E+00   0.00000000000E+00
   0.42857142857E+01   0.00000000000E+00   0.00000000000E+00
   0.43167701863E+01   0.00000000000E+00   0.00000000000E+00
   0.43478260870E+01   0.00000000000E+00   0.00000000000E+00
   0.43788819876E+01   0.00000000000E+00   0.00000000000E+00
   0.44099378882E+01   0.00000000000E+00   0.00000000000E+00
   0.44409937888E+01   0.00000000000E+00   0.00000000000E+00
   0.44720496894E+01   0.00000000000E+00   0.00000000000E+00
   0.45031055901E+01   0.00000000000E+00   0.00000000000E+00
   0.45341614907E+01   0.00000000000E+00   0.00000000000E+00
   0.45652173913E+01   0.00000000000E+00   0.00000000000E+00
   0.45962732919E+01   0.00000000000E+00   0.00000000000E+00
   0.46273291925E+01   0.00000000000E+00   0.00000000000E+00
   0.46583850932E+01   0.00000000000E+00   0.00000000000E+00
   0.46894409938E+01   0.00000000000E+00   0.00000000000E+00
   0.47204968944E+01   0.00000000000E+00   0.00000000000E+00
   0.47515527950E+01   0.00000000000E+00   0.00000000000E+00
   0.47826086957E+01   0.00000000000E+00   0.00000000000E+00
   0.48136645963E+01   0.00000000000E+00   0.00000000000E+00
   0.48447204969E+01   0.00000000000E+00   0.00000000000E+00
   0.48757763975E+01   0.00000000000E+00   0.00000000000E+00
   0.49068322981E+01   0.00000000000E+00   0.00000000000E+00
   0.49378881988E+01   0.00000000000E+00   0.00000000000E+00
   0.49689440994E+01   0.00000000000E+00   0.00000000000E+00
   0.00000000000E+00   0.19607843137E-01   0.10000000000E+01
   0.31055900621E-01   0.19607843137E-01   0.39278334470E+01
   0.62111801242E-01   0.19607843137E-01  -0.34925224868E+01
   0.93167701863E-01   0.19607843137E-01  -0.57818227298E+01
   0.12422360248E+00   0.19607843137E-01  -0.56576675829E+00
   0.15527950311E+00   0.19607843137E-01  -0.21916972046E+01
   0.18633540373E+00   0.19607843137E-01   0.12353562468E+01
   0.21739130435E+00   0.19607843137E-01  -0.99228575174E+00
   0.24844720497E+00   0.19607843137E-01   0.94360188305E+00
   0.27950310559E+00   0.19607843137E-01  -0.87646157185E+00
   0.31055900621E+00   0.19607843137E-01   0.75094727960E+00
   0.34161490683E+00   0.19607843137E-01  -0.89560574541E+00
   0.37267080745E+00   0.19607843137E-01   0.66446103578E+00
   0.40372670807E+00   0.19607843137E-01  -0.89079980552E+00
   0.43478260870E+00   0.19607843137E-01   0.60796580272E+00
   0.46583850932E+00   0.19607843137E-01  -0.87367120109E+00
   0.49689440994E+00   0.19607843137E-01   0.56426907258E+00
   0.52795031056E+00   0.19607843137E-01  -0.85222723906E+00
   0.55900621118E+00   0.19607843137E-01   0.52869061813E+00
   0.59006211180E+00   0.19607843137E-01  -0.82898131440E+00
   0.62111801242E+00   0.19607843137E-01   0.49846172603E+00
   0.65217391304E+00   0.19607843137E-01  -0.80521048097E+00
   0.68322981366E+00   0.19607843137E-01   0.47192518631E+00
   0.71428571429E+00   0.19607843137E-01  -0.78168342060E+00
   0.74534161491E+00   0.19607843137E-01   0.44812341339E+00
   0.77639751553E+00   0.19607843137E-01  -0.75882191819E+00
   0.80745341615E+00   0.19607843137E-01   0.42646213446E+00
   0.83850931677E+00   0.19607843137E-01  -0.73683049810E+00
   0.86956521739E+00   0.19607843137E-01   0.40653464392E+00
   0.90062111801E+00   0.19607843137E-01  -0.71578668123E+00
   0.93167701863E+00   0.19607843137E-01   0.38804009756E+00
   0.96273291925E+00   0.19607843137E-01  -0.69569495848E+00
   0.99378881988E+00   0.19607843137E-01   0.37074418286E+00
   0.10248447205E+01   0.19607843137E-01  -0.67651857718E+00
   0.10559006211E+01   0.19607843137E-01   0.35445872581E+00
